"filename", "language", "PHP", "JavaScript", "HTML", "JSON", "CSS", "Markdown", "XML", "Shell Script", "YAML", "Docker", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\ui\sortable-nestable.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\ui\sweetalert.js", "JavaScript", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 179
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\widgets\infobox\infobox-1.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 43
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap-colorpicker\css\bootstrap-colorpicker.css", "CSS", 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 10, 0, 222
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap-colorpicker\js\bootstrap-colorpicker.js", "JavaScript", 0, 1023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 34, 1107
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap-material-datetimepicker\css\bootstrap-material-datetimepicker.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 12, 50
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap-material-datetimepicker\js\bootstrap-material-datetimepicker.js", "JavaScript", 0, 1033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 1178
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap-notify\bootstrap-notify.js", "JavaScript", 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 354
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap-select\css\bootstrap-select.css", "CSS", 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 8, 1, 300
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap-tagsinput\bootstrap-tagsinput.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap-tagsinput\bootstrap-tagsinput.js", "JavaScript", 0, 455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 96, 664
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\chartjs\Chart.bundle.js", "JavaScript", 0, 13616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2466, 2881, 18963
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\chartjs\polar_area_chart.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 147
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\charts-c3\plugin.css", "CSS", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 17, 42, 228
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\ckeditor\ckeditor.js", "JavaScript", 0, 995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 999
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\dropify\css\dropify.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 8
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\dropify\fonts\dropify.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\dropify\js\dropify.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 10
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\dropzone\dropzone.js", "JavaScript", 0, 1598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 111, 1768
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\editable-table\mindmup-editabletable.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 132
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\footable-bootstrap\css\footable.bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\footable-bootstrap\css\footable.standalone.min.css", "CSS", 0, 0, 0, 0, 726, 0, 0, 0, 0, 0, 0, 0, 114, 840
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\fullcalendar\fullcalendar.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 7
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\gmaps\gmaps.js", "JavaScript", 0, 1798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 438, 2410
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\ion-rangeslider\css\ion.rangeSlider.css", "CSS", 0, 0, 0, 0, 670, 0, 0, 0, 0, 0, 0, 5, 1, 676
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\ion-rangeslider\js\ion.rangeSlider.js", "JavaScript", 0, 1741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 495, 2450
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-datatable\buttons\buttons.bootstrap4.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 7
